BayesianSearch: Config 11 is suboptimal. Config: {'alphas0': 1.975052576708947, 'alphas1': 28.081046075224553, 'alphas2': 45.428109414939655, 'alphas3': 75.8301980276763, 'alphas4': 64.79923127992843, 'alphas5': 29.144151709606042, 'alphas6': 25.542078060609157, 'alphas7': 21.574599800666377, 'alphas8': 45.920316210781685, 'alphas9': 87.11588566006769, 'alphas10': 8.653989948272491, 'alphas11': 76.13934820393162} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.1097120312848719, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 12 is suboptimal. Config: {'alphas0': 88.94868562648968, 'alphas1': 85.49147347203943, 'alphas2': 29.72891725277477, 'alphas3': 90.81473732891247, 'alphas4': 53.922266704562226, 'alphas5': 99.90640673079079, 'alphas6': 75.13546106426301, 'alphas7': 15.133103259087335, 'alphas8': 95.35513087335119, 'alphas9': 95.45102429060593, 'alphas10': 4.204205662728101, 'alphas11': 96.87565888995421} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11187392887292426, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 13 is suboptimal. Config: {'alphas0': 67.01494068872667, 'alphas1': 1.5324842724564585, 'alphas2': 75.74948574169109, 'alphas3': 49.74126142460462, 'alphas4': 64.26900796554033, 'alphas5': 90.5266167538571, 'alphas6': 1.8635356538258545, 'alphas7': 76.04871988367621, 'alphas8': 48.96824903273068, 'alphas9': 19.988388910307435, 'alphas10': 4.1224549095284395, 'alphas11': 15.030070200357274} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11077460904364488, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 14 is suboptimal. Config: {'alphas0': 99.90607860632623, 'alphas1': 34.768375595072015, 'alphas2': 5.118113945697512, 'alphas3': 29.397260273155684, 'alphas4': 48.212696195422055, 'alphas5': 7.686877004831406, 'alphas6': 11.056133875902766, 'alphas7': 81.9208298789187, 'alphas8': 65.97800744066825, 'alphas9': 28.70634305281618, 'alphas10': 42.39632185972367, 'alphas11': 93.26555337342793} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11138805178855463, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 15 is suboptimal. Config: {'alphas0': 32.251613248566294, 'alphas1': 68.30782039177316, 'alphas2': 17.507815199415646, 'alphas3': 19.350254658507055, 'alphas4': 71.7616308934372, 'alphas5': 72.39707752712393, 'alphas6': 33.81763878223411, 'alphas7': 37.79076037902575, 'alphas8': 69.99651227402273, 'alphas9': 54.648908209434936, 'alphas10': 18.186277485295847, 'alphas11': 54.76009796812058} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11265771008170503, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 16 is suboptimal. Config: {'alphas0': 0.9324163369322516, 'alphas1': 9.607773014343838, 'alphas2': 85.55615823729728, 'alphas3': 72.6591974140956, 'alphas4': 66.8512810834024, 'alphas5': 49.21048144878154, 'alphas6': 84.48265128190555, 'alphas7': 93.98521458710003, 'alphas8': 46.793124590084446, 'alphas9': 40.269784611522084, 'alphas10': 73.48595083496473, 'alphas11': 65.12917767071525} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10989463309526683, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 17 is suboptimal. Config: {'alphas0': 92.04132372081698, 'alphas1': 32.53206426818587, 'alphas2': 99.58117284645506, 'alphas3': 28.41657897086081, 'alphas4': 70.35231559521647, 'alphas5': 75.67327011795194, 'alphas6': 32.14167517057445, 'alphas7': 50.79946226596675, 'alphas8': 50.50362952542727, 'alphas9': 24.21869074003719, 'alphas10': 99.51598270750544, 'alphas11': 60.49036459333605} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11347096682300571, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 18 is suboptimal. Config: {'alphas0': 28.91894043395559, 'alphas1': 76.65185350970316, 'alphas2': 37.02036670092303, 'alphas3': 12.399909960186841, 'alphas4': 11.002783721461643, 'alphas5': 13.362634901295381, 'alphas6': 67.59274495058837, 'alphas7': 99.91048949614179, 'alphas8': 44.973103119364765, 'alphas9': 20.552469514965736, 'alphas10': 6.0070134644456665, 'alphas11': 13.657432368139636} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11041296561604422, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 19 is suboptimal. Config: {'alphas0': 78.70823716152876, 'alphas1': 76.54601871535904, 'alphas2': 80.98699239023387, 'alphas3': 44.53175877056261, 'alphas4': 89.50475967899831, 'alphas5': 41.36894408662051, 'alphas6': 10.418290514944786, 'alphas7': 40.00610754544226, 'alphas8': 19.043696453724007, 'alphas9': 69.34226424648739, 'alphas10': 10.56760885406121, 'alphas11': 2.9613945490962643} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.1103966517192744, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 20 is suboptimal. Config: {'alphas0': 100.0, 'alphas1': 0.0, 'alphas2': 0.0, 'alphas3': 0.0, 'alphas4': 100.0, 'alphas5': 100.0, 'alphas6': 100.0, 'alphas7': 0.0, 'alphas8': 100.0, 'alphas9': 100.0, 'alphas10': 100.0, 'alphas11': 0.0} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11068901099159618, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
