BayesianSearch: Config 11 is suboptimal. Config: {'alphas0': 73.31202831028257, 'alphas1': 74.47791687364955, 'alphas2': 74.17651342108822, 'alphas3': 22.49075006276073, 'alphas4': 70.24758574612055, 'alphas5': 58.938130496243005, 'alphas6': 33.387126478143244, 'alphas7': 87.89370208929095, 'alphas8': 2.2724384021140858, 'alphas9': 89.52768613181958, 'alphas10': 89.97168690996283, 'alphas11': 24.67273818396692} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.1120831077067216, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 12 is suboptimal. Config: {'alphas0': 38.96736419197965, 'alphas1': 91.15578279969962, 'alphas2': 98.62149609489659, 'alphas3': 92.67484348764937, 'alphas4': 4.3398692433593515, 'alphas5': 81.36888348562941, 'alphas6': 78.76464344685155, 'alphas7': 0.8543780994221597, 'alphas8': 13.47487770517274, 'alphas9': 87.05171968731625, 'alphas10': 33.61863841085279, 'alphas11': 87.99736936958938} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11186689574048825, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 13 is suboptimal. Config: {'alphas0': 66.8362832181873, 'alphas1': 89.00376365986247, 'alphas2': 49.11366650274267, 'alphas3': 79.21623335162326, 'alphas4': 51.98056271575234, 'alphas5': 6.860987615038329, 'alphas6': 74.09349074562888, 'alphas7': 7.219008412570995, 'alphas8': 42.91243112595213, 'alphas9': 20.156964750597524, 'alphas10': 82.4498057968201, 'alphas11': 19.017758451758766} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11042588283961063, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 14 is suboptimal. Config: {'alphas0': 15.492065767988986, 'alphas1': 88.01309263214715, 'alphas2': 26.633011457722727, 'alphas3': 44.9025576247135, 'alphas4': 80.37029813572015, 'alphas5': 64.53969442816114, 'alphas6': 1.9355476339164794, 'alphas7': 66.40102108185023, 'alphas8': 72.04379553946832, 'alphas9': 54.76012743157085, 'alphas10': 41.1424735790377, 'alphas11': 21.830449934694368} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11194204411814423, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 15 is suboptimal. Config: {'alphas0': 88.48039246098112, 'alphas1': 99.34748961262018, 'alphas2': 9.372458663043473, 'alphas3': 43.874091230344845, 'alphas4': 96.28438693650638, 'alphas5': 17.891453174035846, 'alphas6': 99.24325817331325, 'alphas7': 28.733767481011423, 'alphas8': 64.80580584456361, 'alphas9': 98.0963708885428, 'alphas10': 39.91020667695738, 'alphas11': 90.03177735146906} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10876020886449458, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 16 is suboptimal. Config: {'alphas0': 11.416035074878508, 'alphas1': 72.29928240928155, 'alphas2': 33.34832061345954, 'alphas3': 60.465059570240165, 'alphas4': 69.74771590101169, 'alphas5': 58.68435537685722, 'alphas6': 86.67923290448832, 'alphas7': 10.72378828232267, 'alphas8': 0.9142755017434225, 'alphas9': 94.63677371728836, 'alphas10': 70.85338929163709, 'alphas11': 42.218543368751426} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11232269399086801, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 17 is suboptimal. Config: {'alphas0': 50.68100051799662, 'alphas1': 40.21517129695999, 'alphas2': 36.83038882699902, 'alphas3': 95.76605786207824, 'alphas4': 6.712770705925876, 'alphas5': 83.62809386130382, 'alphas6': 93.35571409569398, 'alphas7': 31.31226638037447, 'alphas8': 3.909296831177057, 'alphas9': 7.2350169275883465, 'alphas10': 86.88317487405807, 'alphas11': 18.981657598798414} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11206343546018199, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 18 is suboptimal. Config: {'alphas0': 96.36975682216956, 'alphas1': 59.830871196219974, 'alphas2': 22.38794065543494, 'alphas3': 7.727747304576184, 'alphas4': 36.79366108510613, 'alphas5': 87.54061545791285, 'alphas6': 22.454384070170825, 'alphas7': 22.69507151809486, 'alphas8': 50.62575418503269, 'alphas9': 80.75598614347548, 'alphas10': 7.482359572864973, 'alphas11': 93.08907744015228} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10486148668203303, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config 19: {'alphas0': 41.14360255750804, 'alphas1': 52.666110309970016, 'alphas2': 17.569535225922632, 'alphas3': 91.08639567890971, 'alphas4': 58.82576035989799, 'alphas5': 37.66878995648438, 'alphas6': 37.27555218667196, 'alphas7': 90.8686044937116, 'alphas8': 81.98585002668284, 'alphas9': 49.52422178698587, 'alphas10': 7.5062534165022194, 'alphas11': 93.88397181988192} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11346943354219867, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 20 is suboptimal. Config: {'alphas0': 0.0, 'alphas1': 0.0, 'alphas2': 100.0, 'alphas3': 0.0, 'alphas4': 0.0, 'alphas5': 0.0, 'alphas6': 100.0, 'alphas7': 100.0, 'alphas8': 0.0, 'alphas9': 0.0, 'alphas10': 100.0, 'alphas11': 100.0} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10771093207870586, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
