BayesianSearch: Config is suboptimal. Config: {'alphas0': 20.438266363519457, 'alphas1': 4.831085097914456, 'alphas10': 6.052337339818898, 'alphas11': 18.780500830781975, 'alphas12': 5.94689960136396, 'alphas2': 3.7864732535085044, 'alphas3': 10.105566010641535, 'alphas4': 25.819262100134285, 'alphas5': 15.87110225616885, 'alphas6': 2.7951141871340637, 'alphas7': 0.9957111038130573, 'alphas8': 19.978821890641477, 'alphas9': 27.883167390939956} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08427381381159152, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 12.095998347914293, 'alphas1': 18.72675171310049, 'alphas10': 21.17630758453186, 'alphas11': 28.965962601392334, 'alphas12': 28.16018215101858, 'alphas2': 12.194772219245518, 'alphas3': 29.167073886953332, 'alphas4': 20.166665813678463, 'alphas5': 24.716748101446942, 'alphas6': 25.93805576163164, 'alphas7': 23.067616402071412, 'alphas8': 1.4000782720004834, 'alphas9': 17.99933130765873} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08616132285014104, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 8.013731645003176, 'alphas1': 4.251349009991698, 'alphas10': 5.491070554607711, 'alphas11': 7.134569259581114, 'alphas12': 22.461230463182016, 'alphas2': 2.7952442632052943, 'alphas3': 6.4846082132426455, 'alphas4': 19.42655223312454, 'alphas5': 28.228953864115812, 'alphas6': 25.064327671723653, 'alphas7': 28.20412775961022, 'alphas8': 4.489922698576749, 'alphas9': 10.664682164247957} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.0865997772313666, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 23.732917578669774, 'alphas1': 24.561790378598115, 'alphas10': 7.040935974977913, 'alphas11': 5.200838068677916, 'alphas12': 27.24727530326673, 'alphas2': 17.12461130157401, 'alphas3': 28.075706769366505, 'alphas4': 3.876853928143842, 'alphas5': 29.89211828737928, 'alphas6': 1.2751350549027307, 'alphas7': 22.525072249853345, 'alphas8': 4.071527810378432, 'alphas9': 0.8818114603216298} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08584031014340004, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 28.841669561833527, 'alphas1': 28.075404126285346, 'alphas10': 28.71279572702908, 'alphas11': 0.5701003814538563, 'alphas12': 21.202685411272164, 'alphas2': 5.703074397702643, 'alphas3': 28.749853158279198, 'alphas4': 3.9979034335869432, 'alphas5': 2.0424807400667397, 'alphas6': 24.431731928995635, 'alphas7': 29.63705480801256, 'alphas8': 9.414511367301989, 'alphas9': 29.298257014463424} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08588720897638127, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 13.11902576207537, 'alphas1': 3.243939547218485, 'alphas10': 28.410022391617737, 'alphas11': 7.216540205579803, 'alphas12': 27.96838136936725, 'alphas2': 0.7591412039549683, 'alphas3': 28.687565083652146, 'alphas4': 0.49721974391432333, 'alphas5': 25.391431326261866, 'alphas6': 0.33173202533141155, 'alphas7': 22.389900206932587, 'alphas8': 4.407408698573598, 'alphas9': 29.884626385877375} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.0852212655653792, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 29.808813810468035, 'alphas1': 16.90062805815525, 'alphas10': 21.991476176177926, 'alphas11': 0.7991354665578165, 'alphas12': 29.038634244813174, 'alphas2': 28.94079071908576, 'alphas3': 17.984932944087838, 'alphas4': 27.403984591552504, 'alphas5': 1.2622022376204312, 'alphas6': 28.65681569767575, 'alphas7': 4.134186206424361, 'alphas8': 1.0623915625977287, 'alphas9': 5.569699600301357} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08355374281927007, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 28.074846859757844, 'alphas1': 0.572399117719008, 'alphas10': 12.893586571107422, 'alphas11': 0.26563996034551063, 'alphas12': 0.3796584720403351, 'alphas2': 2.0724482851831896, 'alphas3': 2.8084437897529932, 'alphas4': 1.8075294139835596, 'alphas5': 26.647135987280738, 'alphas6': 9.640932635649765, 'alphas7': 29.219882758538834, 'alphas8': 3.741393025190937, 'alphas9': 29.30578367473858} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08605943694452771, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 21.39718792517726, 'alphas1': 27.986464842971298, 'alphas10': 1.188761088082606, 'alphas11': 2.2694359830103075, 'alphas12': 29.339710825540642, 'alphas2': 1.0036890850627134, 'alphas3': 1.1263031889183805, 'alphas4': 3.6351522259761273, 'alphas5': 2.721900106096591, 'alphas6': 29.988029144536608, 'alphas7': 29.92202011715521, 'alphas8': 0.11773082816735059, 'alphas9': 28.50027429500751} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08468795169649296, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 4.761548812290878, 'alphas1': 5.940496291320056, 'alphas10': 1.147918602760668, 'alphas11': 11.074173191403048, 'alphas12': 29.184670856437243, 'alphas2': 0.7521174322890101, 'alphas3': 29.26928969931142, 'alphas4': 3.388967641380969, 'alphas5': 29.333318921803478, 'alphas6': 21.832911877523653, 'alphas7': 28.246147159040657, 'alphas8': 27.937592255245253, 'alphas9': 0.7859073834068753} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.07928729114042993, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
