BayesianSearch: Config 11 is suboptimal. Config: {'alphas0': 13.844540124407743, 'alphas1': 45.89470193981144, 'alphas2': 56.64741116612729, 'alphas3': 44.99995492620603, 'alphas4': 20.364229166971118, 'alphas5': 29.37293621346563, 'alphas6': 20.3391070067867, 'alphas7': 10.769415655071343, 'alphas8': 10.25919592098789, 'alphas9': 27.807058643068984, 'alphas10': 52.474377458699806, 'alphas11': 56.647185055053825, 'alphas12': 36.495171951240785, 'alphas13': 35.79932437770319, 'alphas14': 47.018654718113325} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06193009221466336, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config 12: {'alphas0': 30.00157786375809, 'alphas1': 3.022203405452629, 'alphas2': 41.945884483110675, 'alphas3': 59.54378393331797, 'alphas4': 16.035752272888697, 'alphas5': 40.74543693764484, 'alphas6': 51.85688656117469, 'alphas7': 45.050654737705905, 'alphas8': 57.869386067365866, 'alphas9': 33.254546105066424, 'alphas10': 12.743429933418518, 'alphas11': 13.346593463209128, 'alphas12': 13.124962424206313, 'alphas13': 34.17441207448429, 'alphas14': 27.126542102005548} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06444039427437626, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 13 is suboptimal. Config: {'alphas0': 58.21420098576605, 'alphas1': 40.83268147156678, 'alphas2': 5.117733951522035, 'alphas3': 3.385099962837975, 'alphas4': 29.27026226153786, 'alphas5': 52.86027373210051, 'alphas6': 58.584263195582565, 'alphas7': 37.05947496575282, 'alphas8': 32.549926500623855, 'alphas9': 51.276814818642876, 'alphas10': 44.63007271858727, 'alphas11': 28.715779537125012, 'alphas12': 40.62489444162513, 'alphas13': 36.422703666987104, 'alphas14': 42.88181617424143} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06274442035147368, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config 14: {'alphas0': 28.169830985470263, 'alphas1': 27.36087739307204, 'alphas2': 54.38508522361028, 'alphas3': 8.233225205831678, 'alphas4': 13.75315938519477, 'alphas5': 52.89512395263486, 'alphas6': 54.26549854135391, 'alphas7': 38.747075910113956, 'alphas8': 19.480978323987923, 'alphas9': 31.18267161949658, 'alphas10': 0.0033214119005142715, 'alphas11': 18.71161324093135, 'alphas12': 25.527092277130564, 'alphas13': 53.120259576575144, 'alphas14': 40.792767384406176} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06654103332073573, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 15 is suboptimal. Config: {'alphas0': 27.367786327371725, 'alphas1': 29.004516995925165, 'alphas2': 47.32436565192221, 'alphas3': 13.766510068262725, 'alphas4': 52.817856186900286, 'alphas5': 18.821543550481785, 'alphas6': 57.44705133953724, 'alphas7': 28.30509425356808, 'alphas8': 42.695029023648836, 'alphas9': 9.221658300467789, 'alphas10': 43.826530594007664, 'alphas11': 38.7758662388811, 'alphas12': 12.892844205034693, 'alphas13': 11.18749316936031, 'alphas14': 48.45481613152726} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06247014430587019, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 16 is suboptimal. Config: {'alphas0': 44.82476820835406, 'alphas1': 40.490840755721536, 'alphas2': 16.613625049025462, 'alphas3': 10.494532458570452, 'alphas4': 42.268455503609644, 'alphas5': 27.789011999407997, 'alphas6': 50.425711952125965, 'alphas7': 12.291945730826747, 'alphas8': 9.89753208520544, 'alphas9': 7.489983449405162, 'alphas10': 43.32483974416492, 'alphas11': 1.82717789649602, 'alphas12': 44.81965441197021, 'alphas13': 5.555769907110813, 'alphas14': 13.047029562334313} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06105709139581737, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 17 is suboptimal. Config: {'alphas0': 44.95526502379439, 'alphas1': 43.90162538788144, 'alphas2': 2.736878229053186, 'alphas3': 12.549421768850472, 'alphas4': 17.21490259803628, 'alphas5': 40.635798320305625, 'alphas6': 3.7822973801626056, 'alphas7': 33.33895456620871, 'alphas8': 0.5544044091924462, 'alphas9': 49.982285850563464, 'alphas10': 59.059766060887334, 'alphas11': 42.20968704808213, 'alphas12': 10.897872029522926, 'alphas13': 30.74360779775423, 'alphas14': 34.82682823128781} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06156482322373373, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 18 is suboptimal. Config: {'alphas0': 47.25252935730156, 'alphas1': 36.38852760411454, 'alphas2': 13.10417128871537, 'alphas3': 27.310128911600245, 'alphas4': 52.73218450664826, 'alphas5': 29.536094490309527, 'alphas6': 42.93366944754239, 'alphas7': 29.169573618671865, 'alphas8': 42.512889001200186, 'alphas9': 29.88841353044821, 'alphas10': 50.67300476831656, 'alphas11': 11.660533376578995, 'alphas12': 46.3995605766342, 'alphas13': 58.45551983143398, 'alphas14': 51.738586641016994} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06247282857772712, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 19 is suboptimal. Config: {'alphas0': 46.82559906624082, 'alphas1': 59.10193673299416, 'alphas2': 45.21417640032979, 'alphas3': 0.2428863821055805, 'alphas4': 16.168766037487064, 'alphas5': 24.629528285667423, 'alphas6': 25.693429926984493, 'alphas7': 17.87050911330338, 'alphas8': 24.067940493517664, 'alphas9': 7.239419471167185, 'alphas10': 58.841980441441166, 'alphas11': 24.367229578878668, 'alphas12': 34.152645605617536, 'alphas13': 20.616330188885925, 'alphas14': 47.33236666316786} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.05974543622448963, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 20 is suboptimal. Config: {'alphas0': 0.0, 'alphas1': 0.0, 'alphas2': 0.0, 'alphas3': 60.0, 'alphas4': 60.0, 'alphas5': 0.0, 'alphas6': 60.0, 'alphas7': 60.0, 'alphas8': 0.0, 'alphas9': 60.0, 'alphas10': 0.0, 'alphas11': 60.0, 'alphas12': 0.0, 'alphas13': 60.0, 'alphas14': 60.0} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.0633025356512974, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
