
BayesianSearch: Config is suboptimal. Config: {'alphas0': 13, 'alphas1': 18, 'alphas10': 40, 'alphas11': 10, 'alphas12': 40, 'alphas13': 8, 'alphas2': 42, 'alphas3': 22, 'alphas4': 4, 'alphas5': 30, 'alphas6': 44, 'alphas7': 34, 'alphas8': 10, 'alphas9': 34} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08552318904000852, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 36, 'alphas1': 18, 'alphas10': 17, 'alphas11': 10, 'alphas12': 4, 'alphas13': 31, 'alphas2': 26, 'alphas3': 17, 'alphas4': 11, 'alphas5': 34, 'alphas6': 42, 'alphas7': 13, 'alphas8': 27, 'alphas9': 32} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08619041570082014, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 28, 'alphas1': 1, 'alphas10': 37, 'alphas11': 27, 'alphas12': 18, 'alphas13': 13, 'alphas2': 12, 'alphas3': 21, 'alphas4': 24, 'alphas5': 4, 'alphas6': 35, 'alphas7': 26, 'alphas8': 1, 'alphas9': 20} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08399440302841568, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 27, 'alphas1': 22, 'alphas10': 23, 'alphas11': 34, 'alphas12': 3, 'alphas13': 41, 'alphas2': 11, 'alphas3': 32, 'alphas4': 34, 'alphas5': 19, 'alphas6': 2, 'alphas7': 4, 'alphas8': 27, 'alphas9': 17} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08604778668869538, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 14, 'alphas1': 43, 'alphas10': 42, 'alphas11': 1, 'alphas12': 2, 'alphas13': 44, 'alphas2': 0, 'alphas3': 3, 'alphas4': 1, 'alphas5': 28, 'alphas6': 10, 'alphas7': 21, 'alphas8': 1, 'alphas9': 4} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08094220011641051, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 3, 'alphas1': 9, 'alphas10': 32, 'alphas11': 41, 'alphas12': 20, 'alphas13': 38, 'alphas2': 33, 'alphas3': 14, 'alphas4': 43, 'alphas5': 41, 'alphas6': 44, 'alphas7': 2, 'alphas8': 45, 'alphas9': 44} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08338773110783292, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config: {'alphas0': 45, 'alphas1': 9, 'alphas10': 8, 'alphas11': 0, 'alphas12': 41, 'alphas13': 43, 'alphas2': 8, 'alphas3': 42, 'alphas4': 3, 'alphas5': 1, 'alphas6': 44, 'alphas7': 44, 'alphas8': 11, 'alphas9': 29} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08762548063713285, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Best result evaluated on URM_test. Config: {'alphas0': 45, 'alphas1': 9, 'alphas10': 8, 'alphas11': 0, 'alphas12': 41, 'alphas13': 43, 'alphas2': 8, 'alphas3': 42, 'alphas4': 3, 'alphas5': 1, 'alphas6': 44, 'alphas7': 44, 'alphas8': 11, 'alphas9': 29} - results: CUTOFF: 10 - ROC_AUC: 0.0000000, PRECISION: 0.0000000, RECALL: 0.0000000, RECALL_TEST_LEN: 0.0000000, MAP: 0.0843088, MRR: 0.0000000, NDCG: 0.0000000, F1: 0.0000000, HIT_RATE: 0.0000000, ARHR: 0.0000000, NOVELTY: 0.0000000, DIVERSITY_MEAN_INTER_LIST: 1.0000000, DIVERSITY_HERFINDAHL: nan, COVERAGE_ITEM: 0.0000000, COVERAGE_USER: 0.0000000, DIVERSITY_GINI: 0.0000000, SHANNON_ENTROPY: -0.0000000, 

