BayesianSearch: Config 11 is suboptimal. Config: {'alphas0': 20.00825403267445, 'alphas1': 94.23745083839647, 'alphas2': 62.67138206658196, 'alphas3': 74.53243990011137, 'alphas4': 61.918264572870974, 'alphas5': 21.979467468250085, 'alphas6': 12.122997767906543, 'alphas7': 91.67386907426605, 'alphas8': 98.69150901244743} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11428575254984304, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 12 is suboptimal. Config: {'alphas0': 14.116814119905877, 'alphas1': 98.76329028525794, 'alphas2': 12.234377575322478, 'alphas3': 6.334603437125254, 'alphas4': 38.27033000713571, 'alphas5': 34.21572571265626, 'alphas6': 39.38730057351958, 'alphas7': 88.36807106551052, 'alphas8': 84.35913721803817} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11312521145783991, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config 13: {'alphas0': 55.638470904334284, 'alphas1': 32.35647736877322, 'alphas2': 71.82544367114846, 'alphas3': 33.48862948534298, 'alphas4': 95.71828973555738, 'alphas5': 14.748773728711265, 'alphas6': 16.88940852753347, 'alphas7': 71.10703387926044, 'alphas8': 80.13607229015489} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.1147520432525231, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 14 is suboptimal. Config: {'alphas0': 2.084286350506071, 'alphas1': 20.60503645623804, 'alphas2': 30.351121151891686, 'alphas3': 39.200966714578065, 'alphas4': 73.7575938094595, 'alphas5': 67.51981522501997, 'alphas6': 73.31202831028257, 'alphas7': 74.47791687364955, 'alphas8': 74.17651342108822} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.1103465315794074, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 15 is suboptimal. Config: {'alphas0': 22.49075006276073, 'alphas1': 70.24758574612055, 'alphas2': 58.938130496243005, 'alphas3': 33.387126478143244, 'alphas4': 87.89370208929095, 'alphas5': 2.2724384021140858, 'alphas6': 89.52768613181958, 'alphas7': 89.97168690996283, 'alphas8': 24.67273818396692} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.1130280195971937, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 16 is suboptimal. Config: {'alphas0': 38.96736419197965, 'alphas1': 91.15578279969962, 'alphas2': 98.62149609489659, 'alphas3': 92.67484348764937, 'alphas4': 4.3398692433593515, 'alphas5': 81.36888348562941, 'alphas6': 78.76464344685155, 'alphas7': 0.8543780994221597, 'alphas8': 13.47487770517274} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.1078510830438363, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 17 is suboptimal. Config: {'alphas0': 87.05171968731625, 'alphas1': 33.61863841085279, 'alphas2': 87.99736936958938, 'alphas3': 66.8362832181873, 'alphas4': 89.00376365986247, 'alphas5': 49.11366650274267, 'alphas6': 79.21623335162326, 'alphas7': 51.98056271575234, 'alphas8': 6.860987615038329} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11117058584341627, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 18 is suboptimal. Config: {'alphas0': 74.09349074562888, 'alphas1': 7.219008412570995, 'alphas2': 42.91243112595213, 'alphas3': 20.156964750597524, 'alphas4': 82.4498057968201, 'alphas5': 19.017758451758766, 'alphas6': 15.492065767988986, 'alphas7': 88.01309263214715, 'alphas8': 26.633011457722727} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11064901666702481, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 19 is suboptimal. Config: {'alphas0': 44.9025576247135, 'alphas1': 80.37029813572015, 'alphas2': 64.53969442816114, 'alphas3': 1.9355476339164794, 'alphas4': 66.40102108185023, 'alphas5': 72.04379553946832, 'alphas6': 54.76012743157085, 'alphas7': 41.1424735790377, 'alphas8': 21.830449934694368} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10999184003930738, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 20 is suboptimal. Config: {'alphas0': 0.0, 'alphas1': 100.0, 'alphas2': 0.0, 'alphas3': 0.0, 'alphas4': 100.0, 'alphas5': 0.0, 'alphas6': 0.0, 'alphas7': 0.0, 'alphas8': 100.0} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08250189590972706, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
