BayesianSearch: Config is suboptimal. Config: {'alphas0': 12.083663429205526, 'alphas1': 27.22150556935788, 'alphas10': 10.74308485782863, 'alphas11': 3.1432057023470428, 'alphas12': 32.46421181979371, 'alphas13': 38.508011835897726, 'alphas14': 16.93291318627287, 'alphas2': 34.07906668682386, 'alphas3': 33.60727177764763, 'alphas4': 37.21105460894872, 'alphas5': 2.7493632142767854, 'alphas6': 11.443325595035954, 'alphas7': 26.725672308602256, 'alphas8': 20.087157715569255, 'alphas9': 39.5861308366584} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08538810903615815, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 5.490642086880659, 'alphas1': 25.98809316510173, 'alphas10': 16.41223492865944, 'alphas11': 36.76972922264439, 'alphas12': 21.73385840160843, 'alphas13': 6.936006212248338, 'alphas14': 15.329971898905942, 'alphas2': 20.51699420858908, 'alphas3': 10.875011744867713, 'alphas4': 24.526881243824956, 'alphas5': 20.768716520074022, 'alphas6': 6.801947862913402, 'alphas7': 22.074780016753817, 'alphas8': 8.105181853595212, 'alphas9': 28.489647343372965} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.085509232679148, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 24.735954361786593, 'alphas1': 31.75183755531354, 'alphas10': 10.510183918185811, 'alphas11': 26.68727008788772, 'alphas12': 9.249208642670897, 'alphas13': 15.235013217720583, 'alphas14': 3.7947791952576715, 'alphas2': 26.97884526266003, 'alphas3': 4.586017107543818, 'alphas4': 2.486777421436015, 'alphas5': 33.621242247352995, 'alphas6': 12.375801403087149, 'alphas7': 14.055934088641058, 'alphas8': 22.68869395394692, 'alphas9': 23.58340180221896} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08602809427373412, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 12.706771276895154, 'alphas1': 5.014414871676536, 'alphas10': 36.49755503390338, 'alphas11': 20.035974325352377, 'alphas12': 26.85588402258796, 'alphas13': 20.98253179999526, 'alphas14': 18.05706951563188, 'alphas2': 13.47919257003011, 'alphas3': 18.895270379247144, 'alphas4': 33.129643723477706, 'alphas5': 3.692294176435378, 'alphas6': 2.5302530320662697, 'alphas7': 6.143279309835026, 'alphas8': 7.160800097637474, 'alphas9': 5.379768225190253} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08725562755979102, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 22.80975249239418, 'alphas1': 39.26429289567581, 'alphas10': 25.879377406450796, 'alphas11': 18.30839893823161, 'alphas12': 37.17622194993882, 'alphas13': 3.4698622802710455, 'alphas14': 33.10554115379419, 'alphas2': 39.94094530836809, 'alphas3': 11.33821939330283, 'alphas4': 14.954451437639902, 'alphas5': 19.508398816502535, 'alphas6': 21.212902855617575, 'alphas7': 1.3219469622401014, 'alphas8': 26.107792505400592, 'alphas9': 26.86542214370286} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08655416399560957, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 1.287277642259772, 'alphas1': 3.861271529212358, 'alphas10': 5.550207350846135, 'alphas11': 32.70966054905271, 'alphas12': 12.220637509745753, 'alphas13': 27.09082709054986, 'alphas14': 15.76800171235137, 'alphas2': 28.486356284314972, 'alphas3': 10.545198552241096, 'alphas4': 1.6123671654758764, 'alphas5': 32.406298657545, 'alphas6': 35.958763208454364, 'alphas7': 5.001425636158756, 'alphas8': 20.700890596816635, 'alphas9': 39.40386502801741} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08439687323603792, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 2.1437879845300545, 'alphas1': 1.1437322262127658, 'alphas10': 11.852165423171254, 'alphas11': 17.12543262266628, 'alphas12': 22.044963370407714, 'alphas13': 21.687548818860293, 'alphas14': 34.93795481717, 'alphas2': 1.4253005597080781, 'alphas3': 8.249806404741848, 'alphas4': 7.707917030869158, 'alphas5': 10.27218351905149, 'alphas6': 30.458649572591874, 'alphas7': 26.487261035679612, 'alphas8': 30.163991701086132, 'alphas9': 4.2987535376783725} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08595287653805779, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 4.923157150180524, 'alphas1': 10.744386232075453, 'alphas10': 23.954654529947828, 'alphas11': 10.386083194160012, 'alphas12': 2.83497212684122, 'alphas13': 19.943108886981452, 'alphas14': 29.399726018944243, 'alphas2': 14.483500012885813, 'alphas3': 38.43075207019012, 'alphas4': 32.961276215496966, 'alphas5': 11.120256348700748, 'alphas6': 28.57498513750192, 'alphas7': 30.27966666970725, 'alphas8': 9.024515231784473, 'alphas9': 21.86338255090274} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08604018259731107, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 26.357324737476226, 'alphas1': 39.87749948418791, 'alphas10': 27.614017151331222, 'alphas11': 5.024727473308612, 'alphas12': 18.634692530810977, 'alphas13': 26.712970940403146, 'alphas14': 16.52255788860971, 'alphas2': 34.177236710931254, 'alphas3': 21.716460317569055, 'alphas4': 6.134529229497345, 'alphas5': 30.502619866012356, 'alphas6': 16.823923508887443, 'alphas7': 16.34620473830764, 'alphas8': 24.17314964767194, 'alphas9': 5.97861015729507} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08581452142717408, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 25.835758598437828, 'alphas1': 7.391691730077685, 'alphas10': 24.862324197565528, 'alphas11': 23.771786497589282, 'alphas12': 36.72919193631793, 'alphas13': 22.136879470609433, 'alphas14': 35.16118581285661, 'alphas2': 25.120801492923018, 'alphas3': 16.114785390950143, 'alphas4': 16.354761663740476, 'alphas5': 2.163752365371572, 'alphas6': 6.400281612842567, 'alphas7': 30.099463509085673, 'alphas8': 4.657464214344436, 'alphas9': 29.868171474541562} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08647239727264187, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
