
BayesianSearch: Config is suboptimal. Config: {'alphas0': 19.3803789396495, 'alphas1': 18.372889756606202, 'alphas2': 16.025266648306822, 'alphas3': 17.529182501598644, 'alphas4': 18.762954483754044, 'alphas5': 18.58942022741879, 'alphas6': 4.316971817986905, 'alphas7': 17.220318034839973, 'alphas8': 19.833053632160812, 'alphas9': 0.3768243342753985} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08695719828941334, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 1.5228650313320569, 'alphas1': 2.524057642098081, 'alphas2': 18.562287306696565, 'alphas3': 1.8257332302658646, 'alphas4': 19.93772930259636, 'alphas5': 15.59883569492878, 'alphas6': 19.04359597708725, 'alphas7': 19.72282333250847, 'alphas8': 0.20722849543800326, 'alphas9': 0.020977257898251445} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08833136569503289, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 19.486257533480547, 'alphas1': 3.08345688210792, 'alphas2': 6.601487529056103, 'alphas3': 11.685796393774918, 'alphas4': 2.851848384707467, 'alphas5': 0.45737144026109844, 'alphas6': 16.343903640608108, 'alphas7': 19.75299168726273, 'alphas8': 1.8857566078092636, 'alphas9': 0.12989040511176553} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08652942244164903, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 15.78060567511998, 'alphas1': 2.9008830511016392, 'alphas2': 14.687189510995243, 'alphas3': 18.624386251018834, 'alphas4': 16.214349375254006, 'alphas5': 17.922946866879247, 'alphas6': 0.16453002944582407, 'alphas7': 0.7494997681712845, 'alphas8': 0.5787517051823032, 'alphas9': 1.3425800091581896} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08868581542030142, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 0.7547195554301434, 'alphas1': 0.33402422897426787, 'alphas2': 16.41989987804714, 'alphas3': 18.56496562068147, 'alphas4': 17.898827902814837, 'alphas5': 11.31108833654087, 'alphas6': 0.597344233692032, 'alphas7': 19.86882657101234, 'alphas8': 0.12169731642501125, 'alphas9': 2.618791183437157} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.0856106807417985, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 18.383549998902122, 'alphas1': 18.316023389719103, 'alphas2': 1.853334250715657, 'alphas3': 11.076234650407773, 'alphas4': 6.568597152738578, 'alphas5': 19.84850711365414, 'alphas6': 18.510294010374587, 'alphas7': 19.926415487171184, 'alphas8': 0.848149769976847, 'alphas9': 2.4178548502888852} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.0864797497821712, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 16.43985547135237, 'alphas1': 19.157240102968508, 'alphas2': 18.05083578017422, 'alphas3': 2.5120434025524396, 'alphas4': 1.434587885682621, 'alphas5': 5.092571862831472, 'alphas6': 16.43122405710138, 'alphas7': 2.6006021734964624, 'alphas8': 0.12573579347831876, 'alphas9': 0.3905476132555763} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06909538911028254, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 3.244098161131641, 'alphas1': 3.802035286492458, 'alphas2': 3.6758514517731533, 'alphas3': 19.144114086278215, 'alphas4': 2.4733167530533406, 'alphas5': 19.886749905607676, 'alphas6': 18.616604776703014, 'alphas7': 19.80262685652904, 'alphas8': 17.666891705415225, 'alphas9': 15.248886533816762} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.07946042009382907, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 17.949916893904657, 'alphas1': 13.47481566667745, 'alphas2': 0.9115051809438679, 'alphas3': 19.79440385641115, 'alphas4': 0.18087375126822458, 'alphas5': 3.30695755351603, 'alphas6': 0.26071445011823124, 'alphas7': 0.11789488018244088, 'alphas8': 12.538671952502284, 'alphas9': 1.877888117438009} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08609207301817029, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
