BayesianSearch: Config is suboptimal. Config: {'alphas0': 16.119919507940992, 'alphas1': 23.432053913100557, 'alphas10': 9.59328948314688, 'alphas11': 11.402589904964572, 'alphas12': 20.6410432846449, 'alphas13': 38.26211368520366, 'alphas2': 28.88560133512703, 'alphas3': 4.367752575343995, 'alphas4': 21.079832663674058, 'alphas5': 7.4410113137096, 'alphas6': 27.588050090558923, 'alphas7': 32.68922599120726, 'alphas8': 25.156636328148974, 'alphas9': 9.870568345655899} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08565848322370113, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 27.353407925673118, 'alphas1': 20.725776425077033, 'alphas10': 38.803875643699016, 'alphas11': 23.022111705847358, 'alphas12': 4.236996356332283, 'alphas13': 11.523646349719723, 'alphas2': 32.42126225936745, 'alphas3': 32.20590052261495, 'alphas4': 36.86858633350668, 'alphas5': 33.41434909003696, 'alphas6': 23.277085238058632, 'alphas7': 1.768741099852904, 'alphas8': 7.446118500967072, 'alphas9': 16.553625605465534} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.0853732204858911, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 14.447052319113606, 'alphas1': 31.124390260482308, 'alphas10': 14.8843303693201, 'alphas11': 4.57990698550184, 'alphas12': 29.797359484582728, 'alphas13': 33.68422276113222, 'alphas2': 4.906058593493654, 'alphas3': 18.451326352337297, 'alphas4': 18.021334896593096, 'alphas5': 35.20192613336405, 'alphas6': 15.700824354602375, 'alphas7': 1.233265516205786, 'alphas8': 17.149690383024524, 'alphas9': 29.838961930563737} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08694895329641197, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 0.20537441615048113, 'alphas1': 25.658622434841387, 'alphas10': 38.00473125321743, 'alphas11': 0.3324420371707282, 'alphas12': 15.922614210577448, 'alphas13': 39.55951459620503, 'alphas2': 3.0280364024659345, 'alphas3': 38.445535208757626, 'alphas4': 0.14691612933303677, 'alphas5': 7.262843564286827, 'alphas6': 1.4950677015407443, 'alphas7': 25.483742616698144, 'alphas8': 35.40113441260901, 'alphas9': 19.84840691992188} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.0844149167318699, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 25.566269963650893, 'alphas1': 16.784822890691128, 'alphas10': 37.34461414093396, 'alphas11': 19.74721246755199, 'alphas12': 3.3801009823198847, 'alphas13': 3.382230164338491, 'alphas2': 34.040382274235945, 'alphas3': 14.075847392374929, 'alphas4': 19.889628985608958, 'alphas5': 12.2098776611432, 'alphas6': 22.12945325696331, 'alphas7': 19.398605590437576, 'alphas8': 36.9814205386144, 'alphas9': 25.710308681311584} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08479006128398628, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 35.008611270716656, 'alphas1': 33.360311977354115, 'alphas10': 27.737858289340835, 'alphas11': 0.5095708002783805, 'alphas12': 12.664643921030386, 'alphas13': 3.0988916433369296, 'alphas2': 37.80599661633636, 'alphas3': 19.070214329239207, 'alphas4': 37.93564140446946, 'alphas5': 36.011961199845544, 'alphas6': 17.296080907142283, 'alphas7': 15.899422486085344, 'alphas8': 33.590946406364345, 'alphas9': 30.63902816882662} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08579879701583196, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 16.482543036812103, 'alphas1': 3.378251763440754, 'alphas10': 14.183593892178425, 'alphas11': 6.902393187309026, 'alphas12': 35.88329428313464, 'alphas13': 33.88628459993705, 'alphas2': 19.400800803364262, 'alphas3': 36.598716493203206, 'alphas4': 10.451099400831119, 'alphas5': 15.578964805104714, 'alphas6': 27.97919812791168, 'alphas7': 18.79333424087796, 'alphas8': 29.936367111114322, 'alphas9': 33.82350286030348} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08389199086464431, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config: {'alphas0': 29.28122236661173, 'alphas1': 24.024093021379148, 'alphas10': 10.261023563912882, 'alphas11': 37.086640801522776, 'alphas12': 9.010429784289137, 'alphas13': 29.08605104521802, 'alphas2': 23.627271518756313, 'alphas3': 31.066647606599883, 'alphas4': 26.11609985248159, 'alphas5': 37.765774386222404, 'alphas6': 34.889493441392524, 'alphas7': 10.740996807605496, 'alphas8': 7.717283226214664, 'alphas9': 33.33707299331909} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08783547924034565, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Best result evaluated on URM_test. Config: {'alphas0': 29.28122236661173, 'alphas1': 24.024093021379148, 'alphas10': 10.261023563912882, 'alphas11': 37.086640801522776, 'alphas12': 9.010429784289137, 'alphas13': 29.08605104521802, 'alphas2': 23.627271518756313, 'alphas3': 31.066647606599883, 'alphas4': 26.11609985248159, 'alphas5': 37.765774386222404, 'alphas6': 34.889493441392524, 'alphas7': 10.740996807605496, 'alphas8': 7.717283226214664, 'alphas9': 33.33707299331909} - results: CUTOFF: 10 - ROC_AUC: 0.0000000, PRECISION: 0.0000000, RECALL: 0.0000000, RECALL_TEST_LEN: 0.0000000, MAP: 0.0843507, MRR: 0.0000000, NDCG: 0.0000000, F1: 0.0000000, HIT_RATE: 0.0000000, ARHR: 0.0000000, NOVELTY: 0.0000000, DIVERSITY_MEAN_INTER_LIST: 1.0000000, DIVERSITY_HERFINDAHL: nan, COVERAGE_ITEM: 0.0000000, COVERAGE_USER: 0.0000000, DIVERSITY_GINI: 0.0000000, SHANNON_ENTROPY: -0.0000000, 

