BayesianSearch: Config is suboptimal. Config: {'alphas0': 9.350562641972992, 'alphas1': 19.12330720642139, 'alphas10': 5.423485471183831, 'alphas11': 11.15428583235768, 'alphas12': 43.76092516137536, 'alphas13': 30.925374226453318, 'alphas2': 48.9847920964081, 'alphas3': 12.049513629682174, 'alphas4': 23.319459500519592, 'alphas5': 12.8912923979352, 'alphas6': 32.29073665886645, 'alphas7': 37.43614998200589, 'alphas8': 21.746631770541043, 'alphas9': 4.833771441675378} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08531027836136272, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 15.201450862735571, 'alphas1': 0.12193624678309423, 'alphas10': 24.523077830959767, 'alphas11': 5.804276193083041, 'alphas12': 23.98132823165446, 'alphas13': 20.926877413587142, 'alphas2': 42.350338258411995, 'alphas3': 30.858870494814074, 'alphas4': 38.759436334091106, 'alphas5': 36.81785828773968, 'alphas6': 39.57485805671097, 'alphas7': 19.391792591718044, 'alphas8': 32.82102792407759, 'alphas9': 42.56330186220808} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08403206139020479, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 16.793086830957805, 'alphas1': 11.497426656006194, 'alphas10': 42.66575873478777, 'alphas11': 38.5425445343148, 'alphas12': 3.8129561730021133, 'alphas13': 12.655919441907898, 'alphas2': 48.77993288694334, 'alphas3': 42.77344243919766, 'alphas4': 6.598739042882073, 'alphas5': 39.63898894999659, 'alphas6': 6.128742913903363, 'alphas7': 14.94632097208195, 'alphas8': 39.813783887713186, 'alphas9': 32.926091158946384} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08449576943917486, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 28.92005042354169, 'alphas1': 5.526144924766557, 'alphas10': 31.088884562855906, 'alphas11': 49.07485439405001, 'alphas12': 14.895219032767537, 'alphas13': 47.89872151446654, 'alphas2': 38.56916546886187, 'alphas3': 15.996942496817779, 'alphas4': 35.83584490362569, 'alphas5': 9.410551157906516, 'alphas6': 27.282898839512583, 'alphas7': 26.329092109375356, 'alphas8': 32.69890470820318, 'alphas9': 32.68802213952608} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08551583419298955, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 25.089373783955637, 'alphas1': 35.551841742688154, 'alphas10': 13.577778602777546, 'alphas11': 26.19244942170304, 'alphas12': 45.587161467728755, 'alphas13': 20.559349904401223, 'alphas2': 29.925320014906553, 'alphas3': 9.595451266755383, 'alphas4': 42.00444636481181, 'alphas5': 8.486440365204, 'alphas6': 11.476323090996537, 'alphas7': 35.920189270411704, 'alphas8': 38.168301964304, 'alphas9': 29.839741596485986} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08512146364369629, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 6.633013396943932, 'alphas1': 18.46088855663663, 'alphas10': 11.6995173925505, 'alphas11': 1.5837202864460498, 'alphas12': 14.16715104427151, 'alphas13': 12.036162838753196, 'alphas2': 36.20033801384962, 'alphas3': 0.9213810784179377, 'alphas4': 17.316188899348212, 'alphas5': 0.729152666280114, 'alphas6': 26.310040897612552, 'alphas7': 29.96585140464277, 'alphas8': 37.71205227608203, 'alphas9': 10.795586123461593} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08251651828114681, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 8.542996973872292, 'alphas1': 19.589055883047422, 'alphas10': 0.5308699214797874, 'alphas11': 49.976832871992606, 'alphas12': 17.231474024383292, 'alphas13': 22.085262179903335, 'alphas2': 12.869659191166633, 'alphas3': 37.675114561195755, 'alphas4': 29.977365976896653, 'alphas5': 8.5207846388564, 'alphas6': 7.543939279503076, 'alphas7': 23.444124955042227, 'alphas8': 40.05841432625069, 'alphas9': 20.238295153666826} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.0808412994449325, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 1.8878553365688888, 'alphas1': 11.05862609094621, 'alphas10': 23.690636698505013, 'alphas11': 15.337151797244214, 'alphas12': 26.256073517811995, 'alphas13': 2.431642743314316, 'alphas2': 3.770234137448875, 'alphas3': 28.473012061752577, 'alphas4': 19.67473429109972, 'alphas5': 48.30716942495142, 'alphas6': 35.96899346472293, 'alphas7': 3.76643048420377, 'alphas8': 48.01499297666203, 'alphas9': 21.622885972992943} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08160904782564797, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 49.41800094056335, 'alphas1': 0.6490579569730259, 'alphas10': 31.11586294969632, 'alphas11': 44.72780479692635, 'alphas12': 7.722054550633894, 'alphas13': 6.46803895144859, 'alphas2': 7.61682052201123, 'alphas3': 3.0145111017323476, 'alphas4': 18.96333511056339, 'alphas5': 7.495117376150395, 'alphas6': 6.91584607083906, 'alphas7': 20.610896092981378, 'alphas8': 32.8296816964573, 'alphas9': 14.263325217373723} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08489074533768244, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config: {'alphas0': 10.173451771697795, 'alphas1': 26.623592709538503, 'alphas10': 14.017135120990748, 'alphas11': 12.252950326447653, 'alphas12': 3.8448041299299964, 'alphas13': 25.02784406685606, 'alphas2': 34.156905910183504, 'alphas3': 32.083838321071376, 'alphas4': 4.690603367001122, 'alphas5': 2.8185196192165254, 'alphas6': 37.780837040425304, 'alphas7': 24.21701697533007, 'alphas8': 17.91342455365691, 'alphas9': 46.35771196272635} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08670944025663214, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
