BayesianSearch: Config 11 is suboptimal. Config: {'alphas0': 17.331202831028257, 'alphas1': 32.447791687364955, 'alphas2': 104.83530268421765, 'alphas3': 0.22490750062760728, 'alphas4': 0.7024758574612056, 'alphas5': 0.58938130496243, 'alphas6': 96.67742529562865, 'alphas7': 8.789370208929096, 'alphas8': 90.45448768042282, 'alphas9': 48.95276861318196, 'alphas10': 127.99433738199257, 'alphas11': 164.93454763679338} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11929310804927001, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 12 is suboptimal. Config: {'alphas0': 13.896736419197964, 'alphas1': 34.11557827996997, 'alphas2': 109.72429921897933, 'alphas3': 0.9267484348764937, 'alphas4': 0.04339869243359352, 'alphas5': 0.8136888348562942, 'alphas6': 105.75292868937031, 'alphas7': 0.08543780994221596, 'alphas8': 92.69497554103455, 'alphas9': 48.70517196873163, 'alphas10': 116.72372768217056, 'alphas11': 177.59947387391787} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11936760700123374, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 13 is suboptimal. Config: {'alphas0': 16.68362832181873, 'alphas1': 33.90037636598625, 'alphas2': 99.82273330054853, 'alphas3': 0.7921623335162326, 'alphas4': 0.5198056271575234, 'alphas5': 0.06860987615038329, 'alphas6': 104.81869814912578, 'alphas7': 0.7219008412570994, 'alphas8': 98.58248622519042, 'alphas9': 42.015696475059755, 'alphas10': 126.48996115936401, 'alphas11': 163.80355169035175} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11920759347407554, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 14 is suboptimal. Config: {'alphas0': 11.549206576798898, 'alphas1': 33.80130926321472, 'alphas2': 95.32660229154455, 'alphas3': 0.449025576247135, 'alphas4': 0.8037029813572014, 'alphas5': 0.6453969442816114, 'alphas6': 90.38710952678329, 'alphas7': 6.640102108185023, 'alphas8': 104.40875910789366, 'alphas9': 45.476012743157085, 'alphas10': 118.22849471580754, 'alphas11': 164.36608998693887} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11923687526363162, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 15 is suboptimal. Config: {'alphas0': 18.84803924609811, 'alphas1': 34.93474896126202, 'alphas2': 91.87449173260869, 'alphas3': 0.43874091230344847, 'alphas4': 0.9628438693650638, 'alphas5': 0.17891453174035846, 'alphas6': 109.84865163466264, 'alphas7': 2.8733767481011423, 'alphas8': 102.96116116891272, 'alphas9': 49.80963708885428, 'alphas10': 117.98204133539147, 'alphas11': 178.0063554702938} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11924281423497096, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 16 is suboptimal. Config: {'alphas0': 11.14160350748785, 'alphas1': 32.22992824092815, 'alphas2': 96.66966412269191, 'alphas3': 0.6046505957024016, 'alphas4': 0.6974771590101169, 'alphas5': 0.5868435537685722, 'alphas6': 107.33584658089767, 'alphas7': 1.0723788282322668, 'alphas8': 90.18285510034869, 'alphas9': 49.463677371728835, 'alphas10': 124.17067785832742, 'alphas11': 168.44370867375028} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.1193274931176549, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 17 is suboptimal. Config: {'alphas0': 15.068100051799663, 'alphas1': 29.021517129695997, 'alphas2': 97.36607776539981, 'alphas3': 0.9576605786207824, 'alphas4': 0.06712770705925876, 'alphas5': 0.8362809386130382, 'alphas6': 108.6711428191388, 'alphas7': 3.131226638037447, 'alphas8': 90.78185936623541, 'alphas9': 40.72350169275884, 'alphas10': 127.37663497481161, 'alphas11': 163.7963315197597} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11932713037948217, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 18 is suboptimal. Config: {'alphas0': 19.636975682216956, 'alphas1': 30.983087119622, 'alphas2': 94.47758813108699, 'alphas3': 0.07727747304576184, 'alphas4': 0.3679366108510613, 'alphas5': 0.8754061545791285, 'alphas6': 94.49087681403417, 'alphas7': 2.2695071518094863, 'alphas8': 100.12515083700654, 'alphas9': 48.07559861434755, 'alphas10': 111.496471914573, 'alphas11': 178.61781548803046} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11919417461836547, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 19 is suboptimal. Config: {'alphas0': 14.114360255750803, 'alphas1': 30.266611030997, 'alphas2': 93.51390704518452, 'alphas3': 0.910863956789097, 'alphas4': 0.5882576035989799, 'alphas5': 0.37668789956484383, 'alphas6': 97.4551104373344, 'alphas7': 9.08686044937116, 'alphas8': 106.39717000533656, 'alphas9': 44.95242217869858, 'alphas10': 111.50125068330044, 'alphas11': 178.7767943639764} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11926462663797643, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 20 is suboptimal. Config: {'alphas0': 10.0, 'alphas1': 25.0, 'alphas2': 90.0, 'alphas3': 1.0, 'alphas4': 0.0, 'alphas5': 0.0, 'alphas6': 90.0, 'alphas7': 0.0, 'alphas8': 110.0, 'alphas9': 50.0, 'alphas10': 130.0, 'alphas11': 160.0} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11903206228609464, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
