BayesianSearch: Config 11 is suboptimal. Config: {'alphas0': 15.620455655244283, 'alphas1': 32.221351282546784, 'alphas2': 26.875570312243802, 'alphas3': 5.974145346648666, 'alphas4': 21.138699672031986, 'alphas5': 28.154950439414534, 'alphas6': 50.46840778713598, 'alphas7': 54.27886465257082, 'alphas8': 2.2535630296884173, 'alphas9': 30.49892691473346, 'alphas10': 10.01085078290998, 'alphas11': 46.743061176542156, 'alphas12': 51.895997736149575} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06412688101536904, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 12 is suboptimal. Config: {'alphas0': 24.68380342532728, 'alphas1': 8.398355129592103, 'alphas2': 1.9933431159706365, 'alphas3': 58.95449758951163, 'alphas4': 22.39744504699529, 'alphas5': 25.204522187436645, 'alphas6': 3.035286903254234, 'alphas7': 21.929766375804622, 'alphas8': 0.997678424032036, 'alphas9': 13.844540124407743, 'alphas10': 45.89470193981144, 'alphas11': 56.64741116612729, 'alphas12': 44.99995492620603} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.0604091827601409, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 13 is suboptimal. Config: {'alphas0': 20.364229166971118, 'alphas1': 29.37293621346563, 'alphas2': 20.3391070067867, 'alphas3': 10.769415655071343, 'alphas4': 10.25919592098789, 'alphas5': 27.807058643068984, 'alphas6': 52.474377458699806, 'alphas7': 56.647185055053825, 'alphas8': 36.495171951240785, 'alphas9': 35.79932437770319, 'alphas10': 47.018654718113325, 'alphas11': 30.00157786375809, 'alphas12': 3.022203405452629} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06199175765306091, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 14 is suboptimal. Config: {'alphas0': 41.945884483110675, 'alphas1': 59.54378393331797, 'alphas2': 16.035752272888697, 'alphas3': 40.74543693764484, 'alphas4': 51.85688656117469, 'alphas5': 45.050654737705905, 'alphas6': 57.869386067365866, 'alphas7': 33.254546105066424, 'alphas8': 12.743429933418518, 'alphas9': 13.346593463209128, 'alphas10': 13.124962424206313, 'alphas11': 34.17441207448429, 'alphas12': 27.126542102005548} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06264102900604687, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 15 is suboptimal. Config: {'alphas0': 58.21420098576605, 'alphas1': 40.83268147156678, 'alphas2': 5.117733951522035, 'alphas3': 3.385099962837975, 'alphas4': 29.27026226153786, 'alphas5': 52.86027373210051, 'alphas6': 58.584263195582565, 'alphas7': 37.05947496575282, 'alphas8': 32.549926500623855, 'alphas9': 51.276814818642876, 'alphas10': 44.63007271858727, 'alphas11': 28.715779537125012, 'alphas12': 40.62489444162513} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.061848588466868, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 16 is suboptimal. Config: {'alphas0': 36.422703666987104, 'alphas1': 42.88181617424143, 'alphas2': 28.169830985470263, 'alphas3': 27.36087739307204, 'alphas4': 54.38508522361028, 'alphas5': 8.233225205831678, 'alphas6': 13.75315938519477, 'alphas7': 52.89512395263486, 'alphas8': 54.26549854135391, 'alphas9': 38.747075910113956, 'alphas10': 19.480978323987923, 'alphas11': 31.18267161949658, 'alphas12': 0.0033214119005142715} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06317126552658094, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 17 is suboptimal. Config: {'alphas0': 18.71161324093135, 'alphas1': 25.527092277130564, 'alphas2': 53.120259576575144, 'alphas3': 40.792767384406176, 'alphas4': 27.367786327371725, 'alphas5': 29.004516995925165, 'alphas6': 47.32436565192221, 'alphas7': 13.766510068262725, 'alphas8': 52.817856186900286, 'alphas9': 18.821543550481785, 'alphas10': 57.44705133953724, 'alphas11': 28.30509425356808, 'alphas12': 42.695029023648836} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06117202012471638, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 18 is suboptimal. Config: {'alphas0': 9.221658300467789, 'alphas1': 43.826530594007664, 'alphas2': 38.7758662388811, 'alphas3': 12.892844205034693, 'alphas4': 11.18749316936031, 'alphas5': 48.45481613152726, 'alphas6': 44.82476820835406, 'alphas7': 40.490840755721536, 'alphas8': 16.613625049025462, 'alphas9': 10.494532458570452, 'alphas10': 42.268455503609644, 'alphas11': 27.789011999407997, 'alphas12': 50.425711952125965} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06159529531997959, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 19 is suboptimal. Config: {'alphas0': 12.291945730826747, 'alphas1': 9.89753208520544, 'alphas2': 7.489983449405162, 'alphas3': 43.32483974416492, 'alphas4': 1.82717789649602, 'alphas5': 44.81965441197021, 'alphas6': 5.555769907110813, 'alphas7': 13.047029562334313, 'alphas8': 44.95526502379439, 'alphas9': 43.90162538788144, 'alphas10': 2.736878229053186, 'alphas11': 12.549421768850472, 'alphas12': 17.21490259803628} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06575300743260247, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 20 is suboptimal. Config: {'alphas0': 0.0, 'alphas1': 0.0, 'alphas2': 23.50030976317655, 'alphas3': 60.0, 'alphas4': 60.0, 'alphas5': 60.0, 'alphas6': 60.0, 'alphas7': 0.0, 'alphas8': 0.0, 'alphas9': 60.0, 'alphas10': 0.0, 'alphas11': 0.0, 'alphas12': 0.0} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06417310352103779, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 21 is suboptimal. Config: {'alphas0': 0.0, 'alphas1': 0.0, 'alphas2': 60.0, 'alphas3': 60.0, 'alphas4': 0.0, 'alphas5': 60.0, 'alphas6': 60.0, 'alphas7': 60.0, 'alphas8': 60.0, 'alphas9': 60.0, 'alphas10': 0.0, 'alphas11': 60.0, 'alphas12': 29.813908765132517} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06467152897455256, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 22 is suboptimal. Config: {'alphas0': 0.0, 'alphas1': 0.0, 'alphas2': 60.0, 'alphas3': 0.0, 'alphas4': 60.0, 'alphas5': 0.0, 'alphas6': 0.0, 'alphas7': 0.0, 'alphas8': 60.0, 'alphas9': 60.0, 'alphas10': 0.0, 'alphas11': 60.0, 'alphas12': 0.0} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06479466543839733, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
