BayesianSearch: Config is suboptimal. Config: {'alphas0': 55.59101331177858, 'alphas1': 51.29323560682635, 'alphas10': 31.917659493923175, 'alphas11': 27.476458031987278, 'alphas12': 31.923457994251127, 'alphas13': 19.486166989383772, 'alphas14': 0.2794948212939219, 'alphas2': 9.904130279631925, 'alphas3': 46.292766832115454, 'alphas4': 3.3165730012745898, 'alphas5': 26.705096603946647, 'alphas6': 55.56416278281632, 'alphas7': 53.09320512903497, 'alphas8': 15.120799817090958, 'alphas9': 57.770634987877614} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06821136586671701, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 46.144723203093854, 'alphas1': 39.34168048082804, 'alphas10': 20.539153739198067, 'alphas11': 9.117304706017759, 'alphas12': 33.2977948478521, 'alphas13': 54.409977820330525, 'alphas14': 56.48540183951492, 'alphas2': 49.15995640314009, 'alphas3': 21.802206210067357, 'alphas4': 35.64580331547952, 'alphas5': 50.74312518784158, 'alphas6': 50.12309376426737, 'alphas7': 2.4566465755308653, 'alphas8': 24.963634717654944, 'alphas9': 17.878760202448834} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06951276014109325, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config: {'alphas0': 34.33073808248483, 'alphas1': 16.521704270707072, 'alphas10': 29.623062273982672, 'alphas11': 7.451394679706809, 'alphas12': 40.14831283443904, 'alphas13': 6.047733039505976, 'alphas14': 54.244676403581714, 'alphas2': 8.013087986461507, 'alphas3': 47.588522459473936, 'alphas4': 3.9329260411286593, 'alphas5': 16.767523634743156, 'alphas6': 31.407876921320124, 'alphas7': 18.826518367755853, 'alphas8': 47.64802584942227, 'alphas9': 26.051097366725486} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06985084564751814, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Best result evaluated on URM_test. Config: {'alphas0': 34.33073808248483, 'alphas1': 16.521704270707072, 'alphas10': 29.623062273982672, 'alphas11': 7.451394679706809, 'alphas12': 40.14831283443904, 'alphas13': 6.047733039505976, 'alphas14': 54.244676403581714, 'alphas2': 8.013087986461507, 'alphas3': 47.588522459473936, 'alphas4': 3.9329260411286593, 'alphas5': 16.767523634743156, 'alphas6': 31.407876921320124, 'alphas7': 18.826518367755853, 'alphas8': 47.64802584942227, 'alphas9': 26.051097366725486} - results: CUTOFF: 10 - ROC_AUC: 0.0000000, PRECISION: 0.0000000, RECALL: 0.0000000, RECALL_TEST_LEN: 0.0000000, MAP: 0.0452190, MRR: 0.0000000, NDCG: 0.0000000, F1: 0.0000000, HIT_RATE: 0.0000000, ARHR: 0.0000000, NOVELTY: 0.0000000, DIVERSITY_MEAN_INTER_LIST: 1.0000000, DIVERSITY_HERFINDAHL: nan, COVERAGE_ITEM: 0.0000000, COVERAGE_USER: 0.0000000, DIVERSITY_GINI: 0.0000000, SHANNON_ENTROPY: -0.0000000, 

BayesianSearch: Config is suboptimal. Config: {'alphas0': 28.912909764376533, 'alphas1': 50.924357485612326, 'alphas10': 14.366836448591613, 'alphas11': 33.802553746006794, 'alphas12': 12.62868437061568, 'alphas13': 6.569052751273046, 'alphas14': 34.641208695191494, 'alphas2': 52.12781635340516, 'alphas3': 35.0235244369447, 'alphas4': 8.07690630395287, 'alphas5': 28.0032968217309, 'alphas6': 3.432473737994155, 'alphas7': 22.672536973160312, 'alphas8': 3.5901467295514666, 'alphas9': 23.077849572426626} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06741051121189191, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 39.723450107929594, 'alphas1': 56.50075529785692, 'alphas10': 16.718095021773042, 'alphas11': 57.5510849910046, 'alphas12': 49.48997566243558, 'alphas13': 36.99842399589127, 'alphas14': 58.56298942916118, 'alphas2': 50.12391739944018, 'alphas3': 39.024244858801445, 'alphas4': 38.309756693403905, 'alphas5': 37.003057002608465, 'alphas6': 11.157894896294504, 'alphas7': 30.242538285716016, 'alphas8': 31.7404250059768, 'alphas9': 37.06571518777489} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.0684524103048625, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 25.58988843952332, 'alphas1': 5.639404328050485, 'alphas10': 39.82602109310462, 'alphas11': 2.960435415284721, 'alphas12': 13.76019925333227, 'alphas13': 7.027505904918742, 'alphas14': 35.64903975027254, 'alphas2': 15.332371055263852, 'alphas3': 4.89768622165887, 'alphas4': 16.808524316699085, 'alphas5': 39.8763184776666, 'alphas6': 18.767809546527825, 'alphas7': 2.7564994105751706, 'alphas8': 17.811015313124624, 'alphas9': 59.188825079830764} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.06624198708742755, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 34.06316234190592, 'alphas1': 3.4576455192701494, 'alphas10': 24.20507685075669, 'alphas11': 30.46479745819561, 'alphas12': 21.450193609404916, 'alphas13': 19.986903936459782, 'alphas14': 53.55388220687911, 'alphas2': 48.12947093144746, 'alphas3': 24.345848177268557, 'alphas4': 44.10566881581022, 'alphas5': 49.60155463985742, 'alphas6': 38.09558686460965, 'alphas7': 45.515291062360696, 'alphas8': 0.40290283267417015, 'alphas9': 7.749182498845675} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.0692934388699924, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 50.503038352564275, 'alphas1': 24.171295796015603, 'alphas10': 23.451985461036763, 'alphas11': 25.988208934214533, 'alphas12': 8.869597277791181, 'alphas13': 29.460771747735617, 'alphas14': 19.444693376308347, 'alphas2': 2.4435214577827513, 'alphas3': 16.74019512692747, 'alphas4': 1.0272107942302977, 'alphas5': 8.148005378951872, 'alphas6': 40.41220394511656, 'alphas7': 40.94909632491025, 'alphas8': 50.399235859306714, 'alphas9': 20.374434392951425} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.069127405328798, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
