BayesianSearch: Config 11 is suboptimal. Config: {'alphas0': 530.4152026743802, 'alphas1': 338.7761167156765, 'alphas2': 5.972718672929702, 'alphas3': 38.03931331706734, 'alphas4': 293.70685271672954, 'alphas5': 449.8149512208998, 'alphas6': 758.3123618809221, 'alphas7': 752.9635236679799, 'alphas8': 474.1924737461798, 'alphas9': 421.4758817663022} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10776040818381986, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 12 is suboptimal. Config: {'alphas0': 668.0868933971834, 'alphas1': 850.3283560148323, 'alphas2': 849.6224980673219, 'alphas3': 674.1773183047742, 'alphas4': 981.8898842318271, 'alphas5': 310.4738954662706, 'alphas6': 18.547743892478266, 'alphas7': 224.97824710733144, 'alphas8': 364.15557789824567, 'alphas9': 518.181415011095} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.09645237476794175, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 13 is suboptimal. Config: {'alphas0': 982.6178171288448, 'alphas1': 470.42427172377074, 'alphas2': 84.87989856672796, 'alphas3': 388.59236271820987, 'alphas4': 118.24313526385392, 'alphas5': 610.2958622042288, 'alphas6': 462.202382197641, 'alphas7': 251.2077238050206, 'alphas8': 159.76814865110535, 'alphas9': 356.0640098437318} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10074135306977362, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 14 is suboptimal. Config: {'alphas0': 284.64491949367624, 'alphas1': 232.93091281315364, 'alphas2': 857.2919675921908, 'alphas3': 583.4500713100202, 'alphas4': 981.8160026081495, 'alphas5': 763.1985880798552, 'alphas6': 205.71633947364126, 'alphas7': 378.23507820080215, 'alphas8': 429.1916571252147, 'alphas9': 436.6582989248201} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.1138555477025786, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 15 is suboptimal. Config: {'alphas0': 929.3462118598177, 'alphas1': 710.2204496416597, 'alphas2': 295.0616854352837, 'alphas3': 900.416525470287, 'alphas4': 606.9908662314754, 'alphas5': 65.82523588089241, 'alphas6': 981.7617386439712, 'alphas7': 142.16497694399467, 'alphas8': 262.66342843025456, 'alphas9': 340.06883019851836} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10455502999787797, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 16 is suboptimal. Config: {'alphas0': 258.0403171364352, 'alphas1': 185.31054429432461, 'alphas2': 150.1215463615894, 'alphas3': 581.8791220613354, 'alphas4': 163.72342020879506, 'alphas5': 684.2351271428963, 'alphas6': 351.5470385462584, 'alphas7': 458.7881046581962, 'alphas8': 274.78406846880705, 'alphas9': 650.6201170451045} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11320609309579574, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 17 is suboptimal. Config: {'alphas0': 913.0516760706136, 'alphas1': 517.255779352094, 'alphas2': 639.0173721486487, 'alphas3': 213.39532922763942, 'alphas4': 262.50370084801364, 'alphas5': 977.04267173816, 'alphas6': 742.2819347005765, 'alphas7': 427.8278421481113, 'alphas8': 668.1840130153279, 'alphas9': 713.4498341146481} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.1074475325442247, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 18 is suboptimal. Config: {'alphas0': 195.2232112402879, 'alphas1': 60.5700759621597, 'alphas2': 47.85399181854567, 'alphas3': 315.4348979809903, 'alphas4': 370.13366857328526, 'alphas5': 619.731224011187, 'alphas6': 52.868910657249316, 'alphas7': 1.6189961291291914, 'alphas8': 751.9430386980728, 'alphas9': 346.8169719632202} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11266463843261607, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 19 is suboptimal. Config: {'alphas0': 339.1189839667456, 'alphas1': 440.4557948037472, 'alphas2': 493.1745583567416, 'alphas3': 10.613216079892409, 'alphas4': 562.7262068122824, 'alphas5': 865.9951638056826, 'alphas6': 40.800946635204845, 'alphas7': 880.0891344981604, 'alphas8': 221.0644824901767, 'alphas9': 518.0313896324792} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10690228490661711, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 20 is suboptimal. Config: {'alphas0': 0.0, 'alphas1': 0.0, 'alphas2': 1000.0, 'alphas3': 1000.0, 'alphas4': 1000.0, 'alphas5': 1000.0, 'alphas6': 1000.0, 'alphas7': 1000.0, 'alphas8': 1000.0, 'alphas9': 1000.0} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10847289318046277, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
